,zmean,zmax,zmin,area,slope,lat,icecap
RGI60-08.03303,1243.4354248046875,1348.547,1074.5674,0.134,"0    23.2
Name: Slope, dtype: object",61.481,0
RGI60-08.03304,1768.6595458984375,1812.3499,1741.1632,0.068,"0    4.1
Name: Slope, dtype: object",60.569,0
RGI60-08.03305,1581.1608056265984,1600.0,1551.0,0.091,"0    3.4
Name: Slope, dtype: object",59.743,0
RGI60-08.03306,904.6162719726562,1323.8065,720.7087,0.265,"0    19.7
Name: Slope, dtype: object",68.579,0
RGI60-08.03307,1225.7586669921875,1333.0938,933.272,0.107,"0    23.1
Name: Slope, dtype: object",68.602,0
RGI60-08.03308,819.9719848632812,1023.1503,553.09863,0.07,"0    34.8
Name: Slope, dtype: object",70.273,0
RGI60-08.03309,1669.4755859375,1729.4998,1603.5388,0.142,"0    9
Name: Slope, dtype: object",62.091,0
RGI60-08.03310,1228.2044677734375,1293.7104,1187.0098,0.015,"0    19.9
Name: Slope, dtype: object",68.043,0
RGI60-08.03311,982.548583984375,1260.0137,640.0005,0.402,"0    30.3
Name: Slope, dtype: object",69.45,0
RGI60-08.03312,997.2468872070312,1341.8374,758.80225,0.091,"0    35.8
Name: Slope, dtype: object",68.295,0
RGI60-08.03313,1346.7999267578125,1451.1616,1188.2648,0.047,"0    11.6
Name: Slope, dtype: object",68.575,0
RGI60-08.03314,1193.6920166015625,1300.7556,1037.2844,0.03,"0    21.2
Name: Slope, dtype: object",68.005,0
RGI60-08.03315,1190.611328125,1417.1942,753.86786,0.172,"0    24.5
Name: Slope, dtype: object",68.573,0
