RGI_ID,zmed,zmax,zmin,area,slope,lat,icecap,ID
RGI60-08.01936,1229.0,1321.0,1148.0,0.056,30.1,68.689,0,RGI60-08.01936
RGI60-08.01937,1272.0,1366.0,1165.0,0.162,19.9,68.934,0,RGI60-08.01937
RGI60-08.01938,873.0,949.0,816.0,0.132,13.1,68.895,0,RGI60-08.01938
RGI60-08.01939,1228.0,1256.0,1194.0,0.095,15.0,68.85,0,RGI60-08.01939
RGI60-08.01940,1194.0,1246.0,1102.0,0.166,22.3,68.547,0,RGI60-08.01940
RGI60-08.01941,1154.0,1218.0,1110.0,0.07,19.5,68.593,0,RGI60-08.01941
RGI60-08.01942,1110.0,1234.0,1059.0,0.08,34.4,68.803,0,RGI60-08.01942
RGI60-08.01943,1107.0,1190.0,1027.0,0.065,25.7,68.692,0,RGI60-08.01943
RGI60-08.01944,1225.0,1270.0,1091.0,0.057,27.8,68.764,0,RGI60-08.01944
RGI60-08.01945,1169.0,1251.0,1118.0,0.079,24.7,68.904,0,RGI60-08.01945
RGI60-08.01946,1202.0,1259.0,1113.0,0.185,20.1,68.547,0,RGI60-08.01946
RGI60-08.01947,1059.0,1138.0,979.0,0.065,36.4,68.954,0,RGI60-08.01947
RGI60-08.01948,1156.0,1299.0,990.0,0.629,20.4,68.617,0,RGI60-08.01948
RGI60-08.01949,1368.0,1400.0,1250.0,0.556,8.4,68.594,0,RGI60-08.01949
RGI60-08.01950,1181.0,1296.0,1044.0,0.341,26.3,68.729,0,RGI60-08.01950
RGI60-08.01951,1541.0,1616.0,1461.0,0.126,22.7,62.486,0,RGI60-08.01951
RGI60-08.01952,1522.0,1683.0,1369.0,0.291,26.0,62.494,0,RGI60-08.01952
RGI60-08.01953,1679.0,1793.0,1533.0,0.222,25.1,62.378,0,RGI60-08.01953
RGI60-08.01954,1426.0,1498.0,1305.0,0.135,24.8,62.506,0,RGI60-08.01954
RGI60-08.01955,1321.0,1515.0,1132.0,0.958,14.7,62.537,0,RGI60-08.01955
RGI60-08.01956,1462.0,1514.0,1405.0,0.028,28.5,62.535,0,RGI60-08.01956
RGI60-08.01957,1268.0,1305.0,1217.0,0.469,7.1,62.537,0,RGI60-08.01957
RGI60-08.01958,1331.0,1399.0,1288.0,0.042,26.0,62.491,0,RGI60-08.01958
RGI60-08.01959,1438.0,1449.0,1417.0,0.014,22.7,62.508,0,RGI60-08.01959
RGI60-08.01960,1424.0,1534.0,1275.0,0.703,12.1,62.504,0,RGI60-08.01960
RGI60-08.01961,1330.0,1653.0,1054.0,0.531,26.3,62.542,0,RGI60-08.01961
RGI60-08.01962,1375.0,1506.0,1283.0,0.13,27.1,62.545,0,RGI60-08.01962
RGI60-08.01963,1308.0,1552.0,1234.0,0.249,28.3,62.51,0,RGI60-08.01963
RGI60-08.01964,1232.0,1275.0,1199.0,0.069,15.6,62.495,0,RGI60-08.01964
RGI60-08.01965,1570.0,1685.0,1455.0,0.154,26.8,62.431,0,RGI60-08.01965
RGI60-08.01966,1356.0,1401.0,1246.0,0.073,23.3,62.541,0,RGI60-08.01966
RGI60-08.01967,1443.0,1530.0,1350.0,0.048,33.5,62.525,0,RGI60-08.01967
RGI60-08.01968,1378.0,1441.0,1311.0,0.026,32.6,62.512,0,RGI60-08.01968
RGI60-08.01969,1657.0,1831.0,1513.0,0.321,24.9,62.383,0,RGI60-08.01969
RGI60-08.01970,1609.0,1726.0,1356.0,0.132,30.3,62.46,0,RGI60-08.01970
RGI60-08.01971,1439.0,1473.0,1355.0,0.093,14.9,62.49,0,RGI60-08.01971
RGI60-08.01972,1489.0,1561.0,1380.0,0.124,16.4,62.551,0,RGI60-08.01972
RGI60-08.01973,1460.0,1508.0,1406.0,0.031,29.9,62.429,0,RGI60-08.01973
RGI60-08.01974,1565.0,1708.0,1369.0,0.293,26.5,62.503,0,RGI60-08.01974
RGI60-08.01975,1791.0,1848.0,1723.0,0.047,31.0,62.399,0,RGI60-08.01975
